timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781196001759,449,Request to update the existing repository details,200,OK,Github API Performance Testing 1-32,text,true,,8099,304,19,19,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,449,0,0
1781196001691,517,Request to get the existing repository details,200,OK,Github API Performance Testing 1-36,text,true,,7908,217,19,19,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,517,0,63
1781196001598,610,Request to update the existing repository details,200,OK,Github API Performance Testing 1-23,text,true,,8099,304,19,19,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,610,0,0
1781196001593,615,Request to get the existing repository details,200,OK,Github API Performance Testing 1-35,text,true,,7908,217,19,19,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,615,0,61
1781196001786,423,Request to update the existing repository details,200,OK,Github API Performance Testing 1-25,text,true,,8098,304,17,17,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,423,0,0
1781196001791,418,Request to get the existing repository details,200,OK,Github API Performance Testing 1-29,text,true,,7907,217,17,17,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,418,0,0
1781196001820,399,Request to update the existing repository details,200,OK,Github API Performance Testing 1-33,text,true,,8099,304,16,16,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,398,0,0
1781196001791,431,Request to get the existing repository details,200,OK,Github API Performance Testing 1-37,text,true,,7907,217,16,16,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,431,0,62
1781196001639,598,Request to update the existing repository details,200,OK,Github API Performance Testing 1-31,text,true,,8099,304,16,16,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,598,0,0
1781196001925,357,Request to get the existing repository details,200,OK,Github API Performance Testing 1-30,text,true,,7908,217,16,16,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,357,0,0
1781196001871,419,Request to update the existing repository details,200,OK,Github API Performance Testing 1-26,text,true,,8098,304,16,16,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,417,0,0
1781196001893,430,Request to get the existing repository details,200,OK,Github API Performance Testing 1-38,text,true,,7907,217,16,16,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,430,0,60
1781196001967,394,Request to update the existing repository details,200,OK,Github API Performance Testing 1-34,text,true,,8099,304,16,16,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,394,0,0
1781196002208,354,Request to get the existing repository details,200,OK,Github API Performance Testing 1-32,text,true,,7908,217,18,18,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,354,0,0
1781196001992,601,Request to get the existing repository details,200,OK,Github API Performance Testing 1-39,text,true,,7907,217,18,18,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,600,0,249
1781196002220,373,Request to get the existing repository details,200,OK,Github API Performance Testing 1-33,text,true,,7908,217,18,18,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,373,0,0
1781196002209,390,Request to update the existing repository details,200,OK,Github API Performance Testing 1-36,text,true,,8099,304,19,19,https://api.github.com/repos/bharathtechacademy05/JmeterRepo,390,0,0
